Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
READ_PHONE_STATE,NR,360,com.myzaker.ZAKER_Phone,getSubscriberId,com.bytedance.sdk.openadsdk.core.q$4.run,Pangle SDK,Ad
READ_PHONE_STATE,NR,360,com.netease.moba.qihoo,,
READ_PHONE_STATE,NR,360,com.pplive.androidphone.sport,getRunningAppProcesses,com.stub.StubApp.onCreate,,
READ_PHONE_STATE,NR,360,com.pplive.androidphone.sport,getSubscriberId,com.pplive.androidphone.sport.ui.PrivacyPolicyFragment.onClick,app,app
ACCESS_COARSE_LOCATION,NR,360,com.qihoo.appstore,getCellLocation,h.c.b.a.a.a,,
READ_PHONE_STATE,NR,360,com.qk.qingka,getRunningAppProcesses,m4$c.onClick,,
READ_PHONE_STATE,NR,360,com.qk.qingka,getSubscriberId,com.mobile.auth.gatewayauth.PhoneNumberAuthHelperProxy$19.run,,
RECORD_AUDIO,NR,360,com.screeclibinvoke,,
READ_PHONE_STATE,NR,360,com.shengfeng.shopee2,,
BLUETOOTH,IND,360,com.speedsoftware.rootexplorer,,
READ_PHONE_STATE,NR,360,com.speedsoftware.rootexplorer,getRunningAppProcesses,com.speedsoftware.rootexplorer.MainActivity.onResume,app,app
READ_PHONE_STATE,NR,360,com.ss.android.auto,getRunningAppProcesses,com.ss.android.globalcard.utils.y.onClick,,
READ_PHONE_STATE,NR,360,com.sup.android.superb,,
RECEIVE_BOOT_COMPLETED,IND,360,com.tripadvisor.tripadvisor.daodao,,
READ_PHONE_STATE,NR,360,com.twx.lupingds,getRunningAppProcesses,com.bytedance.b.a.h$1.run,,
READ_PHONE_STATE,NR,360,com.ustwo.monumentvalleyzz360,,
ACCESS_LOCATION_EXTRA_COMMANDS,IND,360,com.xiaomi.shop,sendExtraCommand,com.amap.api.col.2sl.d$b.run,AMap API,Utility
READ_PHONE_STATE,NR,360,com.xiaomi.shop,,
READ_PHONE_STATE,NR,360,com.ximalaya.ting.android,getRunningAppProcesses,com.ximalaya.ting.android.xmloader.LoaderApplication.attachBaseContext,app,app
