09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.example.permlabel.hookBinder_test$1.afterHookedMethod(hookBinder_test.java:55)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at de.robv.android.xposed.XposedBridge$AdditionalHookInfo.callback(Unknown Source:147)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at LSPHooker_.transact(Unknown Source:28)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.content.pm.IPackageManager$Stub$Proxy.getPackageUid(IPackageManager.java:2932)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.storage.StorageManager.getVolumeList(StorageManager.java:1164)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.Environment$UserEnvironment.getExternalDirs(Environment.java:91)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.Environment$UserEnvironment.buildExternalStorageAppFilesDirs(Environment.java:135)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.Environment.buildExternalStorageAppFilesDirs(Environment.java:783)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ContextImpl.getExternalFilesDirs(ContextImpl.java:665)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ContextImpl.getExternalFilesDir(ContextImpl.java:658)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.content.ContextWrapper.getExternalFilesDir(ContextWrapper.java:249)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at c.t.m.g.cr.<init>(TL:222)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at c.t.m.g.ep.e(TL:501)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at c.t.m.g.ep.a(TL:413)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at c.t.m.g.ep.a(TL:344)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at c.t.m.g.ep.b(TL:397)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.tencent.map.geolocation.proxy.TencentLocationManagerProxy.requestSingleFreshLocation(TL:180)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at java.lang.reflect.Method.invoke(Native Method)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.tencent.map.geolocation.TencentLocationManager.requestSingleFreshLocation(TCL:6)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.location.internal.third.d.requestLocation(TencentLocationImpl.kt:4)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.location.internal.LocationManager.requestLocation(LocationManager.kt:8)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.deepknow.forter.c.a(ForterWrapper.kt:4)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.deepknow.forter.c.init(ForterWrapper.kt:8)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.deepknow.b$a.init(KLRiskDeepKnowSDK.kt:1)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.deepknow.b.init(Unknown Source:2)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klooklib.activity.SplashActivity.q(SplashActivity.java:52)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klooklib.activity.SplashActivity.I(SplashActivity.java:24)

